	Code	Skill Key	Skill Name	Activation	Target	Requirement	Description	
	1.1	stance_vigilance	Stance: Vigilance	Active	self	has_equipped_shield	Reduces flank area. Immobile, Defensive Stance.	
	1.1	stance_vigilance_keen_eyes	Vigilance: Keen eyes	Passive			Reveals traps and stealthed enemy within 3 tiles	
	1.1	stance_bulwark	Stance: Bulwark	Active	self	has_equipped_shield	Blocks projectiles from frontal, 3-length arrowhead. Immobile, Defensive Stance.	
	1.1	stance_bulwark_bladestorm	Bulwark: Bladestorm	Passive			Confers Bladestorm to allies standing in Bulwakred tile	
	1.1	stance_colossus	Stance: Colossus	Active	self	has_equipped_shield	Automatic Provoke enemies within 3 tiles. Immobile, Defensive Stance	
	1.1	stance_colossus_deadlock	Colossus: Deadlock	Passive			Enemies attempting to break free from Deadlock while Provoked receive automatic critical, armor-ignoring hit	
	1.1	stance_aggression	Stance: Aggression	Active	self	has_equipped_shield	Allows use of Shield to attack. Disables Counterattack, reduces Shield Block rate significantly. Offensive Stance.	
	1.1	stance_aggression_shield_durability	Aggression: Shield Durability	Passive			Reduce Shield Degradation Rate	
	1.1	stance_aggression_quicken	Aggression: Quicken	Passive			Attacks cost less AP	
	1.1	stance_aggression_continuum	Aggression: Continuum	Passive			Attacks with Melee Weapon or Shield does not end turn while in this stance	
	1.1	stance_recovery	Stance: Recovery	Active	self	has_equipped_shield	Recover 5% HP per turn spent in this stance. Immobile. Recovery Stance	
	1.1	stance_recovery_deft_block	Recovery: Deft Block	Passive			Significantly increase shield block rate while in Recovery Stance	
	1.1	stance_phalanx	Stance: Phalanx	Active	self	has_equipped_shield	Grants immunity to all Physical Impairment while in this stance, blocks projectiles. Immobile, Defensive Stance	
	1.1	stance_phalanx_extension	Phalanx: Extension	Passive			Allows allies with equipped Shield to join Phalanx rank. No knowledge of Phalanx required.	
	1.1	stance_phalanx_gap	Phalanx: Gap	Passive			Allows 1-tile gap between rank. This gap is not passable.	
	1.1	stance_phalanx_polearm	Phalanx: Polearm	Passive			Allows self and allies in rank to use Polearm while Phalanx formation is active	
	1.1	stance_mobility	Mobility Stance	Passive			Allows slow movement while in Defensive stance	
	1.1	stance_focus	Focus	Active	self		Powerful version of Skip Turn. Significantly increase the next strike's PATK	
	1.2	limit_break_mechanics	Unlock: Limit Break Mechanics	Passive			Unlocks Limit Break Meter. Requires 32 successful shield block to fill.	
	1.2	limit_break_redux	Limit Break Reduction	Passive			Requires only 24 shield blocks to fill.	
	1.2	limit_break_steel_lung	Limit Break: Steel Lung	Passive			Recovers 50AP after executing Limit Break	
	1.2	limit_break_fast_reposition	Limit Break: Fast Reposition	Passive			Halves AP cost for moving while Limit Break Meter is full	
	1.2	limit_break_damage	Limit Break: Increase Damage	Passive			Increase damage while limit is full and while performing Limit Break.	
	1.2	limit_skewer_charge	Limit Break: Skewer Charge	Active	enemy_single	has_equipped_melee_weapon	Brandish weapon at a target 6 times	
	1.2	limit_skewer_charge_hit_count	Skewer: Hit Count	Passive			Brandish weapon 12 times	
	1.2	limit_skewer_pierce	Skewer: Pierce	Passive			Add 10% chance to Pierce for each hit.	
	1.2	limit_exploding_stomp	Limit Break: Exploding Stomp	Active	aoe	has_equipped_shield, has_equipped_melee_weapon	Strike all target in frontal 180 degrees	
	1.2	limit_exploding_stomp_pushback	Stomp: Pushback	Passive			50% chance to knockback stricken target 3 tiles in the direction of attack	
	1.2	limit_exploding_stomp_stagger	Stomp: Stagger	Passive			10% chance to Stagger stricken target	
	1.2	limit_exploding_stomp_range	Stomp: Range	Passive			Increase radius to 2 tiles	
	1.2	limit_zip_fend	Limit Break: Zip Fend	Active	self	has_equipped_melee_weapon	Attack all targets in full circle with main-hand weapon	
	1.2	limit_zip_fend_multihit	Fend: Multihit	Passive			3 hits per target	
	1.2	limit_zip_fend_escape	Fend: Escape	Passive			Free move within 3 tiles after execution. Can bypass occupied tile, but cannot end on occupied tile	
	1.2	limit_reaper	Reaper	Active	enemy_single		Attack and move towards the next target. Consecutive target must be within 3 tiles from previous one. Each enemy can only be hit once.	
